2024-10-04 09:40:59,400::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:40:59,627::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:40:59,632::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:42:29,400::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:42:29,403::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:42:29,630::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:42:29,638::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:43:59,407::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:43:59,410::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:43:59,640::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:43:59,642::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:45:29,414::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:45:29,417::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:45:29,643::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:45:29,646::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:46:59,423::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:46:59,425::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:46:59,652::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:46:59,655::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:48:29,436::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:48:29,439::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:48:29,660::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:48:29,663::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:49:59,460::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:49:59,463::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:49:59,671::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:49:59,676::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:51:29,472::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:51:29,475::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:51:29,677::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:51:29,686::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:52:59,476::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:52:59,479::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:52:59,687::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:52:59,695::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:54:29,477::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:54:29,480::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:54:29,690::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:54:29,694::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:55:59,496::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:55:59,498::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:55:59,698::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:55:59,703::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:57:29,492::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:57:29,495::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:57:29,702::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:57:29,705::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:58:59,504::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:58:59,506::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:58:59,711::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 09:58:59,719::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 10:00:29,530::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 10:00:29,534::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 10:00:29,718::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 10:00:29,730::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 10:01:59,535::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 10:01:59,538::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Sonarr/4.0.9.2244 (alpine 3.20.3)] {'mode': 'history', 'start': '0', 'limit': '60', 'category': 'tv', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
2024-10-04 10:01:59,722::DEBUG::[interface:144] Request GET /api from ::ffff:10.89.0.19 [Radarr/5.11.0.9244 (alpine 3.20.3)] {'mode': 'queue', 'start': '0', 'limit': '0', 'category': 'movies', 'apikey': 'ca034bb15a2647fbbd0bb7bd96cc0390', 'output': 'json'}
